SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
12563,ZAKS 120g Big Bag Jerky - Sweet Chili,Meat,,CA,FALSE,FALSE,FALSE,1,35
12564,ZAKS 120g Hot Honey Premium Cuts,Meat,,CA,FALSE,FALSE,FALSE,1,35
12565,ZAKS 120g Maple Brown Sugar Premium Cuts,Meat,,CA,FALSE,FALSE,FALSE,1,35
12566,ZAKS 120g Lemon Peppered Premium Cuts,Meat,,CA,FALSE,FALSE,FALSE,1,35
12567,ZAKS 120g Orange Honey Teriyaki Premium Cuts,Meat,,CA,FALSE,FALSE,FALSE,1,35
12568,ZAKS 120g Premium Beef Jerky - Korean BBQ,Meat,,,FALSE,FALSE,FALSE,1,35
13001,CARDGUARD - Multi Use Phone Wallet,Gen Merch,,,FALSE,FALSE,FALSE,,
13301,SOLAR ECLIPSE GLASSES (3pcs),Gen Merch,,,FALSE,TRUE,FALSE,,
19200,VOLT Designer Tower (80pcs) - Display Only,Display,,,FALSE,FALSE,FALSE,,
19208,VOLT Designer 10FT Spinner Rack,Display,,,FALSE,FALSE,FALSE,,
19208 - SC,Header Sign VOLT FC / Designer CAN (10ft Spinning Rack),Display,,CA,FALSE,FALSE,FALSE,,
19208 - SU,Header Sign VOLT FC / Designer USA (10ft Spinning Rack),Display,,US,FALSE,FALSE,FALSE,,
19910,VOLT 10FT Select - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
19911,VOLT 10FT Select - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
19912,VOLT 10FT Select - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
19913,VOLT 10FT Studio - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
19914,VOLT 10FT Studio - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
19915,VOLT 10FT Studio - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
19916,VOLT 10FT Prime - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
19917,VOLT 10FT Prime - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
19918,VOLT 10FT Classic - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
19919,VOLT 10FT Tough Cord - Triple Charge,Tech,,,FALSE,FALSE,FALSE,10,100
19920,VOLT 10FT Classic MFI - iPhone,Tech,,,FALSE,TRUE,FALSE,,
