SKU,Name,Category,Override Category,Sort Rank,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty,MSRP,Store Price,Canco Price,Distributor Price,Inventory Lion - Warehouse YYC,Inventory Lion Imports USA Inc.,Inventory Lion USA - Broadrange Logistics,Inventory Lion USA - Gunship 3PL Utah,Inventory Lion USA - Warehouse Ferndale WA,Inventory Zaks - Edmonton Warehouse,Inventory Zaks - Main Warehouse YYC
SPB006,BLADES:SMALL POCKET BLADE 006,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB007,BLADES:SMALL POCKET BLADE 007,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB008,BLADES:SMALL POCKET BLADE 008,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB010,BLADES:SMALL POCKET BLADE 010,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB011,BLADES:SMALL POCKET BLADE 011,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB012,BLADES:SMALL POCKET BLADE 012,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB013,BLADES:SMALL POCKET BLADE 013,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB014,BLADES:SMALL POCKET BLADE 014,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB015,BLADES:SMALL POCKET BLADE 015,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB016,BLADES:SMALL POCKET BLADE 016,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB017,BLADES:SMALL POCKET BLADE 017,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
ZZ101001,Zig Zag White Papers Kutcorner,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101002,Zig Zag Blue Papers,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101003,Zig Zag Green Papers,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101004,Zig Zag Ultra Thin Papers Single Wide,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101010,Zig Zag Unbleached 1 1/4 Papers,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101012,Pre-Rolled Cones - Zig Zag Unbleached 1 1/4 Papers,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
ZZ101087,Pre-Rolled Cones - Zig Zag White 1 1/4 Papers,Gen Merch,,300,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
